,Scaled_compound
0,1.4005571130285595
1,1.4386753202218012
2,-0.3027618477663393
3,-1.569148773564064
4,0.8406163704231033
5,0.7096921125976186
6,1.196133461179627
7,0.5810653450324922
8,0.6867827037320277
9,0.13488789211017746
10,-0.04118428857212913
11,-1.2781961154102388
12,1.1734487703570884
13,0.003733032753523255
14,-0.4342480280165407
15,0.4953620188589403
16,0.7205694551598082
17,0.9108243452481346
18,0.44614830801645006
19,-0.2523776315623834
20,0.501119023445332
21,-0.16620355233415454
22,0.9537619854910886
23,0.052641313746961245
24,-0.09812224230164089
25,0.8413864789769423
26,1.432330863560737
27,-0.2347311587086436
28,0.308321437508745
29,0.14065637937946188
30,1.6796913895428376
31,1.7018593441829306
32,-0.23312222505851418
33,0.25290972121881394
34,0.9581796077510261
35,0.5179573319464472
36,0.44051376874513726
37,1.0345087120458418
38,0.754315326288476
39,1.7853702395799784
40,-0.8218598334622651
41,0.5238603119424339
42,-0.41036565972713407
43,0.28755499431834486
44,-0.5783058178835244
45,0.3217190150789134
46,0.19770235575123077
47,0.0782837624733647
48,2.189564174947106
49,-0.7919854118892464
50,1.203931721287185
51,0.2817626780062057
52,-0.2551687977518596
53,0.5799185012684817
54,0.8145553505448252
55,-0.09587976545487667
56,-0.24134063205640083
57,-0.5351448584054096
58,0.8550052802536314
59,1.4130431249096347
60,0.4797959256241655
61,1.4349730714695068
62,-0.38211189553479186
63,-0.5020871762980644
64,0.2543571338575423
65,-0.3297224750012678
66,-1.1359462578002653
67,-1.2987059505139447
68,-0.10179496767126452
69,-1.2037074497272582
70,0.5505231444392026
71,0.8087771439962828
72,0.3005200667377041
73,-0.756519577822766
74,1.178897737489244
75,-0.17657895595521658
76,-0.8918059500504242
77,0.4417695224591114
78,-1.826988713270314
79,-1.482410303807974
80,-0.3026324372536676
81,0.27159585329240926
82,-1.3244318874978132
83,0.21869096544416636
84,-0.06635325915076427
85,-0.018824791704437977
86,-0.1857791340383268
87,-0.4496393021547794
88,1.189551353287653
89,-0.6488037436222471
90,1.0061697719959402
91,-0.2719126165754344
92,-0.08669357621674749
93,-1.0658791839632369
94,1.1807099906672425
95,2.387756405267832
96,-0.02276445777205382
97,-0.6716190835296401
98,0.31551379943090163
99,0.337922172009383
100,-1.0006043657558623
101,-2.587568753532544
102,0.17385872406911082
103,-0.08049187297615842
104,1.2277261979578493
105,0.24999975218266934
106,0.6897681835805879
107,1.3965365439979283
108,-0.03340554261048991
109,0.02869061261998818
110,0.7806368198390862
111,-0.06971895411992296
112,-2.087423200112385
113,-2.9128891799779297
114,-0.6863275284565039
115,-0.5717425290720503
116,1.5180225913119814
117,1.295019485217977
118,-0.11590865974406683
119,1.2573459210468254
120,0.3973982537364045
121,1.2996265020588806
122,0.714462568596229
123,0.5231813208475167
124,0.8779516099560742
125,-1.343551157666185
126,0.8519839616118049
127,-0.9800701308916916
128,1.0349240725552111
129,-0.1564715528124599
130,0.05922739511788898
131,0.8429875188609309
132,1.590774387303605
133,0.1802297681519018
134,-0.3360567510831617
135,-1.0521169521191314
136,-0.3273214864569198
137,-1.6239005359616032
138,-1.0007422678241114
139,0.14930127677462643
140,-0.05241818391944484
141,-0.7105192782091385
142,0.9658993003337054
143,-1.0877054089170761
144,-0.23726147079598098
145,-0.2068024762543679
146,0.9403626269758073
147,1.3825729463604854
148,0.7801135047546335
149,0.039884805387207574
150,0.3771470828058789
151,-0.03883497292813469
152,-0.7815601770036074
153,-1.1774976716402765
154,-1.4170281762550225
155,-1.093119417848128
156,-0.057863587999351575
157,-1.9404832487015273
158,-1.842241119353481
159,-1.7509478827497547
160,-1.5030719173660503
161,-0.5555881717475609
162,-1.1159362817289256
163,-0.402218299338085
164,-1.3444031835346317
165,1.1492246908741766
166,0.37305758228189423
167,1.2881964525544074
168,-0.19841463841673165
169,0.8533031689154819
170,-1.7180659580891198
171,-1.8643220203531898
172,-1.0677847488513827
173,0.06274387693334448
174,1.2551433615171705
175,0.48693011331932406
176,-0.6197246875529278
177,-0.07590434631782358
178,1.363824388642331
179,-0.6198840076775091
180,-3.4712531711426684
181,-0.38813776384337256
182,-0.3654152939899912
183,-2.373548193569394
184,-0.35014800793410106
185,1.2537337982406334
186,0.5266589964388566
187,-0.4814290792068905
188,-1.5946567135901937
189,-0.09981354930598593
190,-1.884107667330719
191,0.5653663444223033
192,-1.8055102493295607
193,1.1119569446457849
194,-0.9984047256615229
195,-1.4153448953025751
196,-0.5845835185957791
197,0.6743655590953402
198,-0.12894383153653663
199,1.5130216424426068
200,-0.924462093127201
201,-1.0826211658342149
202,-0.325606610032769
203,0.7300507798829805
204,1.4404133851353211
205,-0.9495778920139231
206,-0.7001602639788839
207,2.057121762483134
208,0.8154321882408054
209,-0.34957769025853996
210,1.089029618728028
211,0.6362753343491783
212,0.005307227400279311
213,0.7319013946442714
214,-0.5210094697743961
215,-1.2230263675506543
216,0.15612787461839447
217,0.05233344562190761
218,0.2815882352494796
219,-0.4121047928517543
220,0.40051088413709784
221,-2.3091655771778417
222,0.03263916852161749
223,3.0868921902107442
224,0.7722677990793422
225,-1.1398835266672462
226,-0.3744162116164882
227,0.42566094271911487
228,-0.28258647735039855
229,0.2730058367037007
230,0.5858088253761454
231,0.7996714813870441
232,-0.004617621638256262
233,1.743128357798969
234,-0.4944980981686683
235,0.31914061946062333
236,-1.0510394089368247
237,0.4263846691146624
238,-0.758148103440082
239,-0.36738661230825526
240,-0.22652027714583453
241,0.4454290978214362
242,1.1358209962643262
243,0.6314324897946472
244,-1.804411171368688
245,-0.48840507486764806
246,-0.9600555361194756
247,-0.15728914457010607
248,-0.12308988656263047
249,0.6324660270638652
250,-0.44456167606668623
251,-1.6021558351760516
